Combinations,Count
"('GOBI FRIED RICE', 'POMEGRANATE JUICE')",4
"('CHICKEN BIRIYANI', 'EGG BIRIYANI')",4
"('MAAZA MINI', 'SEZWAN CHICKEN FRIED RICE')",4
"('CHICKEN BIRIYANI', 'SEZWAN VEG FRIED RICE')",4
"('BAG', 'EGG BOILED')",4
"('MOSAMBI', 'WATER BOTTLE - 20')",4
"('COLD BOOST', 'POMEGRANATE JUICE')",4
"('LEMONJUICE', 'MOSAMBI')",4
"('COKE MEDIUM', 'DOSA')",4
"('COLD COFFEE', 'SAMOSA')",4
"('MINI MEALS', 'POMEGRANATE JUICE')",4
"('PINE APPIE JUICE', 'POORI')",4
"('CHICKEN MANCHURIAN', 'WATER BOTTLE - 20')",4
"('PANI PURI', 'PODI DOSA')",4
"('WATER BOTTLE', 'WHITE CHICKEN MASALA')",4
"('CHICKEN FRIED RICE', 'SEZWAN VEG FRIED RICE')",4
"('CHICKEN MANCHURIAN', 'ONION DOSAI')",4
"('APPLE JUICE', 'BHEL PURI')",4
"('CURD RICE', 'ORANGE JUICE')",4
"('CHICKEN PODI MASS', 'MASALA DOSAI')",4
"('CHICKEN CHILLI PARATHA', 'EGG CHILLI PARATHA')",4
"('CHILLI CHICKEN', 'SAMOSA')",4
"('CHILLI CHICKEN', 'WATER BOTTLE')",4
"('CHILLI PARTHA', 'EGG CHILLI PARATHA')",4
"('HORLICKS', 'POMEGRANATE JUICE')",4
"('CURD VADA', 'MILK')",4
"('GOBI FRIED NOODLES', 'GOBI FRIED RICE')",4
"('BUTTER SCOTCH MINI', 'MANGO ZAP')",4
"('BHEL PURI', 'WATER BOTTLE')",4
"('CURD RICE', 'MAAZA MINI')",4
"('APPLE JUICE', 'WATER BOTTLE - 20')",4
"('CHANNA SAMOSA', 'DAHI PAPADI CHAT')",4
"('BHEL PURI', 'POMEGRANATE JUICE')",4
"('EGG OMLETTE', 'MASALA PURI')",4
"('PINE APPIE JUICE', 'VADA')",4
"('DAHI PAPADI CHAT', 'GHEE DOSA')",4
"('HOT WATER', 'ONION DOSAI')",4
"('BONDA', 'EXTRA')",4
"('EGG FRIED RICE', 'MASALA DOSAI')",4
"('KALAKKI', 'VEG FRIED RICE')",4
"('BHEL PURI', 'PINE APPIE JUICE')",4
"('PODI ONION DOSAI', 'WATER BOTTLE')",4
"('CHICKEN PODI MASS', 'PODI DOSA')",4
"('ORANGE JUICE', 'SAMOSA')",4
"('BUTTER SCOTCH MINI', 'MASALA PURI')",4
"('CHILLI PARTHA', 'PANIYARAM')",4
"('CHILLI CHICKEN', 'EGG OMLETTE')",4
"('PODI DOSA', 'WATER MELON')",4
"('EGG CHILLI PARATHA', 'EGG PODIMAS')",4
"('KALAKKI', 'PANIYARAM')",4
"('CHICKEN NOODLES', 'VEG BIRIYANI')",4
"('DAHI PURI', 'PODI DOSA')",4
"('POORI', 'RAVA DOSA')",4
"('COFFEE', 'RAVA DOSA')",4
"('MIX CHAT', 'TEA')",4
"('BAAJEE', 'WATER MELON')",4
"('MAAZA MINI', 'MASALA BONDA')",4
"('COKE MINI', 'COLD BOOST')",4
"('EXTRA', 'MINI MEALS')",4
"('CHICKEN NOODLES', 'KALAKKI')",4
"('COFFEE', 'COLD BOOST')",4
"('COVER', 'IDLY')",4
"('MAAZA MINI', 'PANEER FRIED RICE')",4
"('ONION UTHAPPAM', 'PANIYARAM')",4
"('EGG FRIED RICE', 'MOSAMBI')",4
"('APPLE JUICE', 'VEG FRIED RICE')",4
"('MAAZA MINI', 'MANGO ZAP')",4
"('MANGO ZAP', 'VENNILA CUP')",4
"('BUTTER SCOTCH', 'SAMOSA')",4
"('BOURNVITA', 'PANI PURI')",4
"('BUTTER SCOTCH MINI', 'TEA')",4
"('CHICKEN MASALA', 'SAMBAR RICE')",4
"('COFFEE', 'POORI - 1')",4
"('RASAM RICE', 'VEG BIRIYANI')",4
"('CHAPPATHI', 'CHICKEN CHILLI PARATHA')",4
"('EGG CHILLI PARATHA', 'EGG FRIED RICE')",4
"('COKE MEDIUM', 'EGG FRIED RICE')",4
"('BOURNVITA', 'PODI DOSA')",4
"('EGG OMLETTE', 'HOT WATER')",4
"('SAMBAR VADA', 'WATER BOTTLE - 20')",4
"('GHEE ONION PODI DOSA', 'SAMOSA')",4
"('EGG PODIMAS', 'SAMBAR RICE')",4
"('CHICKEN 65', 'KALAKKI')",4
"('MASALA PURI', 'PODI DOSA')",4
"('CHICKEN PODI MASS', 'SPRITE MINI')",4
"('BAAJEE', 'CHICKEN FRIED RICE')",4
"('CHAPPATHI', 'COLD BOOST')",4
"('CHICKEN FRIED RICE', 'HORLICKS')",4
"('CHICKEN MANCHURIAN', 'KALAKKI')",4
"('BISCUIT - 5', 'CHAPPATHI')",4
"('CHICKEN 65', 'WHITE CHICKEN MASALA')",4
"('BISCUIT - 5', 'MILK')",4
"('APPLE JUICE', 'BOURNVITA')",4
"('BOOST', 'HOT WATER')",4
"('CHICKEN CHILLI PARATHA', 'CHICKEN NOODLES')",4
"('MEALS', 'ORANGE JUICE')",4
"('ORANGE JUICE', 'VEG BIRIYANI')",4
"('OREO', 'VENNILA CUP')",4
"('CHICKEN FRIED RICE', 'EXTRA')",4
"('CHICKEN FRIED RICE', 'EGG KALAKKI')",4
"('EGG FRIED RICE', 'WATER MELON')",4
"('DAHI PURI', 'WATER BOTTLE')",4
"('SEV PURI', 'WATER BOTTLE')",4
"('CHICKEN NOODLES', 'GHEE DOSA')",4
"('CHICKEN 65', 'CHICKEN CHILLI PARATHA')",4
"('CHICKEN MASALA', 'MEALS')",4
"('CHICKEN 65', 'COFFEE')",4
"('HOT WATER', 'SAMBAR RICE')",4
"('WATER BOTTLE - 20', 'WHITE CHICKEN MASALA')",4
"('CHICKEN MANCHURIAN', 'CHICKEN PODI MASS')",4
"('GHEE DOSA', 'MYSORE MASALA DOSA')",4
"('EXTRA', 'MILK')",4
"('CHICKEN MASALA', 'POMEGRANATE JUICE')",4
"('ONION DOSAI', 'PODI ONION DOSAI')",4
"('SEZWAN CHICKEN FRIED NOODLES', 'SEZWAN CHICKEN FRIED RICE')",4
"('GOBI FRIED RICE', 'SPRITE MINI')",4
"('PINE APPIE JUICE', 'SAMBAR RICE')",4
"('CHICKEN FRIED RICE', 'VEG BIRIYANI')",4
"('COKE MINI', 'GOBI MANCHURIAN')",4
"('ONION DOSAI', 'VEG FRIED RICE')",4
"('PANIYARAM', 'SAMOSA CHAT')",4
"('MAAZA MINI', 'ONION DOSAI')",4
"('SAMBAR RICE', 'WATER BOTTLE - 10')",4
"('PODI DOSA', 'UTHAAPPAM')",4
"('CHICKEN FRIED RICE', 'GOBI MANCHURIAN')",4
"('BONDA', 'WATER BOTTLE - 20')",4
"('IDLY', 'LEMON JUICE')",4
"('KALAKKI', 'POMEGRANATE JUICE')",4
"('CHICKEN NOODLES', 'EGG PODIMAS')",4
"('CHICKEN MANCHURIAN', 'MEALS')",4
"('CHICKEN MANCHURIAN', 'MAAZA MINI')",4
"('BONDA', 'BOOST')",4
"('BISCUIT - 5', 'SAMOSA')",4
"('BAAJEE', 'GHEE DOSA')",4
"('CHICKEN CHILLI PARATHA', 'SEZWAN CHICKEN FRIED RICE')",4
"('EGG FRIED RICE', 'KALAKKI')",4
"('GHEE ONION PODI DOSA', 'MASALA DOSAI')",4
"('CHICKEN 65', 'PANIYARAM')",4
"('CHILLI PARTHA', 'EGG OMLETTE')",4
"('BOURNVITA', 'ONION DOSAI')",4
"('CHICKEN MANCHURIAN', 'PANIYARAM')",4
"('CHICKEN MANCHURIAN', 'SEZWAN CHICKEN FRIED RICE')",4
"('EGG OMLETTE', 'SEZWAN EGG FRIED RICE')",4
"('COFFEE', 'PANEER MASALA DOSA')",4
"('CHICKEN NOODLES', 'VEG NOODLES')",4
"('GHEE DOSA', 'GHEE ONION PODI DOSA')",4
"('ONION UTHAPPAM', 'POMEGRANATE JUICE')",4
"('MILK', 'WATER BOTTLE - 10')",4
"('COKE MINI', 'VENNILA CONE')",4
"('VADA', 'VEG FRIED RICE')",4
"('EGG FRIED RICE', 'SEZWAN CHICKEN FRIED RICE')",4
"('IDLY', 'PANEER FRIED RICE')",4
"('CHICKEN PODI MASS', 'EGG FRIED RICE')",4
"('IDIYAPPAM', 'MILK')",4
"('MINI MEALS', 'MOSAMBI')",4
"('COKE MEDIUM', 'MASALA DOSAI')",4
"('CHENNA - 10', 'MOSAMBI')",4
"('MAAZA MINI', 'WHITE CHICKEN MASALA')",4
"('EXTRA', 'PANIYARAM')",4
"('PANIYARAM', 'UTHAAPPAM')",4
"('DOSA', 'PEPPER CHICKEN')",4
"('COFFEE', 'PEPPER CHICKEN')",4
"('EGG CHILLI PARATHA', 'GHEE DOSA')",4
"('EGG OMLETTE', 'POMEGRANATE JUICE')",4
"('SAMOSA', 'VEG NOODLES')",4
"('TOMATO RICE', 'VADA')",3
"('COKE MINI', 'MANGO ZAP')",3
"('CHICKEN PODI MASS', 'SAMOSA')",3
"('BAAJEE', 'CHILLI CHICKEN')",3
"('CHILLI CHICKEN', 'ONION DOSAI')",3
"('CHICKEN PODI MASS', 'KALAKKI')",3
"('BAAJEE', 'CHICKEN PODI MASS')",3
"('MASALA PURI', 'VENNILA CONE')",3
"('EGG FRIED RICE', 'SAMOSA')",3
"('ORANGE JUICE', 'WATER BOTTLE')",3
"('COFFEE', 'SPRITE MEDIUM')",3
"('OREO MILK SHAKE', 'VADA')",3
"('PANEER FRIED RICE', 'PANIYARAM')",3
"('CHAPATHI -1', 'COKE MINI')",3
"('PANEER FRIED RICE', 'VEG FRIED RICE')",3
"('GHEE DOSA', 'HOT WATER')",3
"('CHICKEN MASALA', 'DOSA')",3
"('TEA', 'VEG NOODLES')",3
"('GHEE DOSA', 'VENNILA CUP')",3
"('CHICKEN 65', 'CURD RICE')",3
"('CHICKEN BIRIYANI', 'LEMON JUICE')",3
"('BAAJEE', 'WATER BOTTLE')",3
"('PINE APPIE JUICE', 'VEG FRIED RICE')",3
"('CHICKEN 65', 'CHICKEN MANCHURIAN')",3
"('BOURNVITA', 'VADA')",3
"('BUTTER SCOTCH', 'GHEE DOSA')",3
"('BUTTER SCOTCH', 'DAHI PURI')",3
"('BOURNVITA', 'MEALS')",3
"('EXTRA', 'WATER MELON')",3
"('DAHI PURI', 'EGG OMLETTE')",3
"('CHICKEN NOODLES', 'MASALA PURI')",3
"('COLD BOOST', 'CURD RICE')",3
"('GHEE DOSA', 'MILK')",3
"('MILK', 'WATER BOTTLE')",3
"('COKE MINI', 'OREO')",3
"('CHANNA SAMOSA', 'DAHI PURI')",3
"('DAHI PURI', 'MIX CHAT')",3
"('ONION UTHAPPAM', 'PONGAL')",3
"('BOURNVITA', 'EGG OMLETTE')",3
"('KALAKKI', 'OREO MILK SHAKE')",3
"('BISCUIT - 10', 'GHEE DOSA')",3
"('SAMBAR RICE', 'SPRITE MINI')",3
"('CHAPATHI -1', 'PINE APPIE JUICE')",3
"('MIX CHAT', 'SEV PURI')",3
"('ALOO PARATHA', 'WATER BOTTLE - 20')",3
"('EGG FRIED RICE', 'VEG NOODLES')",3
"('BOURNVITA', 'CURD VADA')",3
"('APPLE JUICE', 'CHICKEN BIRIYANI')",3
"('SAMBAR VADA', 'WATER BOTTLE')",3
"('BUTTER SCOTCH', 'DOSA')",3
"('CHILLI PARTHA', 'SAMOSA')",3
"('BONDA', 'DAHI PURI')",3
"('BUTTER MILK', 'CHILLI PARTHA')",3
"('COLD BOOST', 'PANI PURI')",3
"('COFFEE', 'COKE MEDIUM')",3
"('CHICKEN BIRIYANI', 'GOBI FRIED RICE')",3
"('CHICKEN BIRIYANI', 'CHILLI PARTHA')",3
"('THAMSUP', 'VEG FRIED RICE')",3
"('CHENNA - 10', 'VEG BIRIYANI')",3
"('COKE MINI', 'MOSAMBI')",3
"('SPRITE MINI', 'VEG FRIED RICE')",3
"('CHILLI CHICKEN', 'THAMSUP')",3
"('CHILLI CHICKEN', 'GOBI MANCHURIAN')",3
"('PODI DOSA', 'SPRITE MINI')",3
"('GHEE DOSA', 'VEG FRIED RICE')",3
"('BISCUIT - 10', 'SAMBAR RICE')",3
"('APPLE JUICE', 'EGG OMLETTE')",3
"('EGG FRIED RICE', 'WATER BOTTLE')",3
"('MIX CHAT', 'WATER BOTTLE - 20')",3
"('GOBI FRIED RICE', 'MASALA PURI')",3
"('SEV PURI', 'WATER BOTTLE - 20')",3
"('SPRITE MINI', 'VADA')",3
"('CHILLI CHICKEN', 'PINE APPIE JUICE')",3
"('CHICKEN MASALA', 'KALAKKI')",3
"('RAVA DOSA', 'TEA')",3
"('GHEE PODI DOSA', 'TEA')",3
"('COLD COFFEE', 'IDLY')",3
"('KALAKKI', 'WATER MELON')",3
"('KALAKKI', 'PANI PURI')",3
"('GHEE DOSA', 'KALAKKI')",3
"('DOSA', 'SPRITE MEDIUM')",3
"('CHAPATHI -1', 'VEG BIRIYANI')",3
"('BUTTER SCOTCH', 'WATER BOTTLE')",3
"('CHAPATHI -1', 'PONGAL')",3
"('CHILLI CHICKEN', 'PANIYARAM')",3
"('CHICKEN FRIED RICE', 'COLD BOOST')",3
"('BUTTER MILK', 'COKE MINI')",3
"('KALAKKI', 'MAAZA MINI')",3
"('RAVA DOSA', 'SAMOSA')",3
"('BHEL PURI', 'GHEE DOSA')",3
"('EGG OMLETTE', 'PINE APPIE JUICE')",3
"('COLD BOOST', 'MOSAMBI')",3
"('MINI MEALS', 'VEG BIRIYANI')",3
"('LEMONJUICE', 'SAMOSA')",3
"('DOSA', 'SEZWAN VEG FRIED RICE')",3
"('MAAZA MINI', 'SAMBAR RICE')",3
"('BUTTER MILK', 'TEA')",3
"('COFFEE', 'WHITE CHICKEN MASALA')",3
"('CHICKEN 65', 'COKE')",3
"('DOSA', 'SEV PURI')",3
"('MASALA DOSAI', 'SEV PURI')",3
"('EGG PODIMAS', 'IDLY')",3
"('EGG OMLETTE', 'WATER BOTTLE - 10')",3
"('BOOST', 'PONGAL')",3
"('CHICKEN BIRIYANI', 'SPRITE MINI')",3
"('DOSA', 'VENNILA CUP')",3
"('CHAPATHI -1', 'PEPPER CHICKEN')",3
"('CHICKEN CHILLI PARATHA', 'SPRITE MINI')",3
"('CHAPATHI -1', 'VEG FRIED RICE')",3
"('MOSAMBI', 'ONION DOSAI')",3
"('TEA', 'TOMATO RICE')",3
"('CURD RICE', 'VENNILA CUP')",3
"('OREO', 'VENNILA CONE')",3
"('SPRITE MINI', 'VEG NOODLES')",3
"('CHICKEN BIRIYANI', 'EXTRA')",3
"('CHICKEN MANCHURIAN', 'VEG FRIED RICE')",3
"('CHICKEN MANCHURIAN', 'GOBI MANCHURIAN')",3
"('POMEGRANATE JUICE', 'SAMBAR VADA')",3
"('CURD RICE', 'EGG PODIMAS')",3
"('CHAPPATHI', 'MASALA BONDA')",3
"('IDLY', 'KALAKKI')",3
"('PINE APPIE JUICE', 'VEG BIRIYANI')",3
"('MAAZA MINI', 'PINE APPIE JUICE')",3
"('EXTRA', 'RASAM RICE')",3
"('LEMON JUICE', 'WATER BOTTLE')",3
"('CHICKEN 65', 'LEMON JUICE')",3
"('CHICKEN NOODLES', 'WHITE CHICKEN MASALA')",3
"('PANI PURI', 'VADA')",3
"('CHICKEN BIRIYANI', 'CHICKEN MANCHURIAN')",3
"('ORANGE JUICE', 'PANIYARAM')",3
"('EGG PODIMAS', 'PODI DOSA')",3
"('CHICKEN NOODLES', 'COKE')",3
"('BAAJEE', 'BONDA')",3
"('CHILLI PARTHA', 'COKE MINI')",3
"('ONION UTHAPPAM', 'SAMBAR VADA')",3
"('CURD RICE', 'LEMON JUICE')",3
"('CHICKEN NOODLES', 'PANI PURI')",3
"('MAAZA MINI', 'PODI ONION DOSAI')",3
"('APPLE JUICE', 'BISCUIT - 10')",3
"('EGG PODIMAS', 'EXTRA')",3
"('PANIYARAM', 'VENNILA CUP')",3
"('COKE', 'MANGO ZAP')",3
"('BUTTER SCOTCH', 'MOSAMBI')",3
"('BAG', 'WHITE CHICKEN MASALA')",3
"('APPLE JUICE', 'ORANGE JUICE')",3
"('BUTTER MILK', 'MOSAMBI')",3
"('PODI DOSA', 'SEV PURI')",3
"('CHICKEN BIRIYANI', 'SAMOSA')",3
"('EGG CHILLI PARATHA', 'PANIYARAM')",3
"('KALAKKI', 'TEA')",3
"('APPLE JUICE', 'POORI')",3
"('COLD BOOST', 'PANIYARAM')",3
"('MANGO ZAP', 'TEA')",3
"('CHAPPATHI', 'DAHI PURI')",3
"('CHICKEN CHILLI PARATHA', 'MEALS')",3
"('CHICKEN 65', 'CHICKEN PODI MASS')",3
"('MILK', 'PINE APPIE JUICE')",3
"('GHEE DOSA', 'VEG NOODLES')",3
"('CHAPATHI -1', 'KALAKKI')",3
"('COLD HORLICKS', 'SAMOSA')",3
"('EXTRA', 'WHITE CHICKEN MASALA')",3
"('COKE MINI', 'KALAKKI')",3
"('DOSA', 'EGG FRIED NOODLES')",3
"('BUTTER SCOTCH', 'CHICKEN FRIED RICE')",3
"('CHICKEN CHILLI PARATHA', 'CHILLI CHICKEN')",3
"('VADA', 'VEG BIRIYANI')",3
"('BOURNVITA', 'POMEGRANATE JUICE')",3
"('BUTTER MILK', 'WATER BOTTLE')",3
"('GHEE DOSA', 'PANEER MASALA DOSA')",3
"('BONDA', 'MASALA PURI')",3
"('DAHI PURI', 'SAMOSA CHAT')",3
"('CHILLI CHICKEN', 'COKE')",3
"('APPLE JUICE', 'PODI DOSA')",3
"('BISCUIT - 10', 'VENNILA CONE')",3
"('CHICKEN BRIYANI', 'WATER MELON')",3
"('PANEER MASALA DOSA', 'VADA')",3
"('EGG CHILLI PARATHA', 'KALAKKI')",3
"('MAAZA', 'MAAZA MINI')",3
"('MANGO ZAP', 'SAMOSA')",3
"('DAHI PURI', 'POMEGRANATE JUICE')",3
"('CHICKEN CHILLI PARATHA', 'DOSA')",3
"('CHILLI CHICKEN', 'MOSAMBI')",3
"('CHILLI CHICKEN', 'TEA')",3
"('COFFEE', 'MANGO ZAP')",3
"('BUTTER MILK', 'CHICKEN CHILLI PARATHA')",3
"('CHICKEN NOODLES', 'THAMSUP')",3
"('COKE', 'THAMSUP')",3
"('CHICKEN 65', 'DAHI PURI')",3
"('HORLICKS', 'WATER BOTTLE - 10')",3
"('CHILLI PARTHA', 'EGG PODIMAS')",3
"('GOBI FRIED RICE', 'PANIYARAM')",3
"('PONGAL', 'WATER BOTTLE - 10')",3
"('KALAKKI', 'MASALA DOSAI')",3
"('KALAKKI', 'SEZWAN CHICKEN FRIED RICE')",3
"('CURD VADA', 'POORI - 1')",3
"('DAHI PAPADI CHAT', 'IDLY')",3
"('CHICKEN FRIED RICE', 'MINI MEALS')",3
"('DAHI PAPADI CHAT', 'HORLICKS')",3
"('EGG OMLETTE', 'PARATHA')",3
"('BISCUIT - 10', 'EGG OMLETTE')",3
"('GHEE DOSA', 'SEV PURI')",3
"('APPLE JUICE', 'LEMON JUICE')",3
"('COKE MINI', 'GOBI FRIED RICE')",3
"('GHEE DOSA', 'PEPPER CHICKEN')",3
"('EGG OMLETTE', 'WATER BOTTLE')",3
"('CHENNA - 10', 'DOSA')",3
"('CHICKEN MASALA', 'COFFEE')",3
"('CURD RICE', 'PINE APPIE JUICE')",3
"('HORLICKS', 'HOT WATER')",3
"('MASALA DOSAI', 'UTHAAPPAM')",3
"('EGG FRIED NOODLES', 'IDLY')",3
"('CHAPPATHI', 'SEZWAN CHICKEN FRIED RICE')",3
"('POMEGRANATE JUICE', 'VEG NOODLES')",3
"('CHAPPATHI', 'EGG KALAKKI')",3
"('DOSA', 'LEMONJUICE')",3
"('HORLICKS', 'MOSAMBI')",3
"('MAAZA', 'TEA')",3
"('DOSA', 'MAAZA')",3
"('CURD VADA', 'PINE APPIE JUICE')",3
"('DAHI PURI', 'GHEE DOSA')",3
"('COLD BOOST', 'HORLICKS')",3
"('COKE MEDIUM', 'WATER BOTTLE - 20')",3
"('MANGO ZAP', 'OREO')",3
"('MASALA PURI', 'WATER BOTTLE - 20')",3
"('COFFEE', 'OREO')",3
"('MEALS', 'VADA')",3
"('CHAPATHI -1', 'GHEE DOSA')",3
"('OREO MILK SHAKE', 'WATER MELON')",3
"('HOT WATER', 'WATER BOTTLE')",3
"('CHANNA MASALA', 'MASALA PURI')",3
"('HOT WATER', 'IDIYAPPAM')",3
"('COFFEE', 'MINI MEALS')",3
"('HORLICKS', 'WATER BOTTLE - 20')",3
"('SAMBAR RICE', 'WHITE CHICKEN MASALA')",3
"('COKE MINI', 'PEPPER CHICKEN')",3
"('CHICKEN NOODLES', 'COKE MEDIUM')",3
"('CHAPPATHI', 'PODI ONION DOSAI')",3
"('CHILLI PARTHA', 'MASALA DOSAI')",3
"('MASALA DOSAI', 'RAVA DOSA')",3
"('EGG PODIMAS', 'VEG FRIED RICE')",3
"('CHANNA MASALA', 'DAHI PAPADI CHAT')",3
"('IDLY', 'PAPER DOSA')",3
"('COKE MINI', 'DAHI PAPADI CHAT')",3
"('ORANGE JUICE', 'VADA')",3
"('ORANGE JUICE', 'POORI')",3
"('CURD RICE', 'SPRITE MINI')",3
"('PONGAL', 'POORI - 1')",3
"('ONION DOSAI', 'PANI PURI')",3
"('POORI - 1', 'TEA')",3
"('MOSAMBI', 'PANI PURI')",3
"('CHICKEN CHILLI PARATHA', 'MASALA DOSAI')",3
"('CHICKEN BIRIYANI', 'COFFEE')",3
"('CHICKEN NOODLES', 'EGG FRIED RICE')",3
"('APPLE JUICE', 'GHEE DOSA')",3
"('APPLE JUICE', 'WATER BOTTLE')",3
"('CHICKEN CHILLI PARATHA', 'CHILLI PARTHA')",3
"('CURD RICE', 'WATER BOTTLE - 20')",3
"('KALAKKI', 'LEMON RICE')",3
"('CHICKEN CHILLI PARATHA', 'WATER BOTTLE - 10')",3
"('MASALA BONDA', 'PANIYARAM')",3
"('CHICKEN 65', 'VEG BIRIYANI')",3
"('CHICKEN 65', 'SAMBAR RICE')",3
"('CHANNA SAMOSA', 'COFFEE')",3
"('COKE MINI', 'EXTRA')",3
"('POORI - 1', 'SAMOSA')",3
"('COLD BOOST', 'EXTRA')",3
"('CHICKEN CHILLI PARATHA', 'SAMBAR RICE')",3
"('EGG PODIMAS', 'GOBI FRIED RICE')",3
"('CHICKEN BIRIYANI', 'PEPPER CHICKEN')",3
"('CHAPATHI -1', 'SAMBAR RICE')",3
"('CURD VADA', 'LEMON RICE')",3
"('CHICKEN 65', 'TEA')",3
"('CHICKEN BIRIYANI', 'WATER BOTTLE - 10')",3
"('HORLICKS', 'PONGAL')",3
"('BAAJEE', 'DAHI PAPADI CHAT')",3
"('CURD RICE', 'EGG FRIED RICE')",3
"('CHILLI PARTHA', 'IDLY')",3
"('HORLICKS', 'MAAZA MINI')",3
"('MILK', 'TOMATO RICE')",3
"('CHEESE MASALA DOSA', 'COFFEE')",3
"('CHICKEN PODI MASS', 'WHITE CHICKEN MASALA')",3
"('EGG OMLETTE', 'MILK')",3
"('MEALS', 'MILK')",3
"('BOOST', 'SAMBAR VADA')",3
"('EGG KALAKKI', 'EGG OMLETTE')",3
"('COLOURS - 25', 'SAMOSA')",3
"('CHICKEN PODI MASS', 'PANI PURI')",3
"('KALAKKI', 'TOMATO RICE')",3
"('CHAPATHI -1', 'MILK')",3
"('GHEE PODI DOSA', 'VADA')",3
"('COKE MINI', 'ONION DOSAI')",3
"('CHICKEN 65', 'EGG PODIMAS')",3
"('EGG FRIED RICE', 'VEG BIRIYANI')",3
"('BHEL PURI', 'SAMOSA')",3
"('CURD RICE', 'RASAM RICE')",3
"('APPLE JUICE', 'MAAZA MINI')",3
"('KALAKKI', 'WATER BOTTLE')",3
"('COKE', 'TEA')",3
"('BAAJEE', 'EXTRA')",3
"('CHAPPATHI', 'COLD BOURNVITA')",3
"('BISCUIT - 10', 'MASALA DOSAI')",3
"('SAMBAR VADA', 'UTHAAPPAM')",3
"('SAMBAR RICE', 'VEG NOODLES')",3
"('COKE MINI', 'SEZWAN VEG FRIED RICE')",3
"('CHICKEN PODI MASS', 'SAMBAR RICE')",3
"('COKE MINI', 'OREO MILK SHAKE')",3
"('CHILLI PARTHA', 'ONION DOSAI')",3
"('COLD BOOST', 'DAHI PURI')",2
"('MASALA CHILI BAAJEE', 'MASALA DOSAI')",2
"('EGG FRIED NOODLES', 'GHEE DOSA')",2
"('PANEER MANCHURIAN', 'VEG FRIED RICE')",2
"('BAG', 'MOSAMBI')",2
"('CHANNA MASALA', 'SEV PURI')",2
"('CHICKEN MANCHURIAN', 'COKE')",2
"('EGG FRIED RICE', 'WATER BOTTLE - 10')",2
"('ALOO PURI', 'PANI PURI')",2
"('CHICKEN BIRIYANI', 'EGG BOILED')",2
"('BUTTER MILK', 'CURD VADA')",2
"('BOOST', 'CHANNA MASALA')",2
"('CHANNA SAMOSA', 'MASALA PURI')",2
"('DAHI PURI', 'PINE APPIE JUICE')",2
"('GOBI FRIED RICE', 'MAAZA MINI')",2
"('COFFEE', 'PANEER FRIED RICE')",2
"('ALOO PARATHA', 'PANEER PARATHA')",2
"('CHICKEN FRIED RICE', 'LEMON JUICE')",2
"('DOSA', 'MASALA CHILI BAAJEE')",2
"('VEG HAKKA NOODLES', 'WATER BOTTLE')",2
"('MASALA DOSAI', 'SPRITE MINI')",2
"('HOT WATER', 'MASALA DOSAI')",2
"('PODI ONION DOSAI', 'PONGAL')",2
"('CHAPATHI -1', 'MASALA DOSAI')",2
"('BHEL PURI', 'MASALA DOSAI')",2
"('CHEESE MASALA DOSA', 'GHEE DOSA')",2
"('CHICKEN MANCHURIAN', 'WATER MELON')",2
"('IDLY', 'MAAZA')",2
"('PINE APPIE JUICE', 'WATER BOTTLE - 20')",2
"('MOSAMBI', 'PODI ONION DOSAI')",2
"('COFFEE', 'MYSORE MASALA DOSA')",2
"('MAAZA MINI', 'SAMBAR VADA')",2
"('BOOST', 'CHENNA - 10')",2
"('WATER BOTTLE - 20', 'WATER MELON')",2
"('SPRITE MINI', 'VENNILA CUP')",2
"('EGG CHILLI PARATHA', 'EGG FRIED NOODLES')",2
"('EGG OMLETTE', 'UTHAAPPAM')",2
"('EGG FRIED RICE', 'PODI DOSA')",2
"('COKE MINI', 'CURD RICE')",2
"('BISCUIT - 10', 'WATER MELON')",2
"('BHEL PURI', 'PODI DOSA')",2
"('CHICKEN PODI MASS', 'SEZWAN CHICKEN FRIED RICE')",2
"('PINE APPIE JUICE', 'WATER BOTTLE')",2
"('CHICKEN CHILLI PARATHA', 'COFFEE')",2
"('CHAPATHI -1', 'UTHAAPPAM')",2
"('CHAPATHI -1', 'ONION DOSAI')",2
"('CHICKEN 65', 'PINE APPIE JUICE')",2
"('MOSAMBI', 'SPRITE MINI')",2
"('SAMOSA', 'SPRITE')",2
"('GOBI MANCHURIAN', 'SPRITE MINI')",2
"('CHICKEN BIRIYANI', 'CHICKEN BRIYANI')",2
"('CHILLI PARTHA', 'VEG BIRIYANI')",2
"('CHICKEN 65', 'CHILLI PARTHA')",2
"('GOBI FRIED RICE', 'GOBI MANCHURIAN')",2
"('CHICKEN 65', 'MASALA PURI')",2
"('DOSA', 'PAROTTA')",2
"('BHEL PURI', 'HORLICKS')",2
"('LEMON RICE', 'PINE APPIE JUICE')",2
"('BONDA', 'POORI')",2
"('EGG FRIED RICE', 'ONION DOSAI')",2
"('MEALS', 'VENNILA CUP')",2
"('CHICKEN BIRIYANI', 'LEMON RICE')",2
"('PANI PURI', 'VEG FRIED RICE')",2
"('MYSORE MASALA DOSA', 'PANIYARAM')",2
"('BOOST', 'GOBI FRIED NOODLES')",2
"('MYSORE MASALA DOSA', 'SAMOSA')",2
"('CHICKEN CHILLI PARATHA', 'WHITE CHICKEN MASALA')",2
